reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2026-03-28,04,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.9,0.003252099053593142
2026-03-28,04,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.95,0.0035099871108797247
2026-03-28,04,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.975,0.003784062704859098
2026-03-28,04,0,wk inc rsv prop ed visits,2026-03-28,quantile,0.99,0.00410949516321241
2026-03-28,04,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.01,0.0010349560001212317
2026-03-28,04,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.025,0.00113637491159409
2026-03-28,04,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.05,0.0012768493512981035
2026-03-28,04,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.1,0.0014309314573381605
2026-03-28,04,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.15,0.001553753490390246
2026-03-28,04,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.2,0.001658549529858823
2026-03-28,04,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.25,0.0017475223636136653
2026-03-28,04,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.3,0.0018411412783606736
2026-03-28,04,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.35,0.0019280542787619348
2026-03-28,04,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.4,0.0020108310698732238
2026-03-28,04,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.45,0.002089629424769008
2026-03-28,04,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.5,0.002172533059849233
2026-03-28,04,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.55,0.002251485611265196
2026-03-28,04,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.6,0.002338652487335655
2026-03-28,04,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.65,0.0024374077964873465
2026-03-28,04,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.7,0.0025476821957758035
2026-03-28,04,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.75,0.0026549023526990624
2026-03-28,04,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.8,0.002801383848555883
2026-03-28,04,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.85,0.002992211149521616
2026-03-28,04,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.9,0.003212736464308495
2026-03-28,04,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.95,0.0035843229694760624
2026-03-28,04,1,wk inc rsv prop ed visits,2026-04-04,quantile,0.975,0.0039653901066446645
